SitReptNo.	Date	Alimbongo	Beni	Biena	Butembo	Goma	Kalunguta	Katwa	Kayna	Kyondo	Lubero	Mabalako	Manguredjipa	Masereka	Musienene	Mutwanga	Nyiragongo	Oicha	Vuhovi	Ariwara	Bunia	Komanda	Lolwa	Mambasa	Mandima	Nyakunde	Rwampara	Tchomia
1	05-Aug	0	0	0	2	0	0	0	0	0	0	28	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0
2	12-Aug	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
3	20-Aug	0	2	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	26-Aug	0	4	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	02-Sep	0	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	09-Sep	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	16-Sep	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	23-Sep	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
9	02-Oct	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	07-Oct	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	15-Oct	0	20	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	21-Oct	0	15	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	28-Oct	0	14	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	04-Nov	0	7	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
15	11-Nov	0	9	0	8	0	5	0	0	3	0	0	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0
16	19-Nov	0	0	0	0	0	16	17	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	8	0	0	0
17	26-Nov	0	9	0	8	0	1	4	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
18	03-Dec	0	11	0	3	0	1	7	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
19	10-Dec	0	0	0	0	0	4	11	0	0	0	5	0	1	0	1	0	1	2	0	0	0	0	0	1	0	0	0
20	16-Dec	0	8	0	1	0	1	7	0	2	0	4	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
21	25-Dec	0	10	0	10	0	0	6	0	0	0	4	0	0	0	0	0	2	0	0	0	8	0	0	0	1	0	0
22	01-Jan	0	5	0	0	0	0	2	0	0	0	4	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0
23	06-Jan	0	2	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	14-Jan	0	2	1	8	0	4	8	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	21-Jan	0	4	0	3	0	1	20	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	28-Jan	0	1	1	7	0	0	10	0	0	0	1	2	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0
27	03-Feb	0	1	0	9	0	0	7	0	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
28	10-Feb	0	0	0	6	0	0	19	0	2	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0
29	17-Feb	0	0	0	5	0	0	12	0	1	0	0	0	0	0	0	0	0	1	0	1	5	0	0	0	0	0	0
30	24-Feb	0	0	3	0	0	0	48	1	2	0	0	0	1	0	0	0	12	0	0	0	0	0	0	0	0	0	1
31	03-Mar	0	0	0	4	0	1	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
32	10-Mar	0	0	0	10	0	1	2	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0
33	17-Mar	0	1	0	5	0	2	5	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	5	0	0	0
34	24-Mar	0	0	1	16	0	0	5	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	5	0	0	0
35	31-Mar	0	4	0	13	0	0	13	0	0	0	0	0	1	0	0	0	0	8	0	0	0	0	0	5	0	0	0
36	07-Apr	0	5	2	15	0	0	15	0	0	0	1	0	0	1	0	0	1	2	0	0	0	0	0	11	0	1	1
37	14-Apr	0	7	0	14	0	0	51	0	0	0	4	0	1	0	0	0	0	3	0	0	1	0	0	5	0	0	0
38	21-Apr	0	2	0	21	0	2	36	0	0	0	18	0	3	2	0	0	0	3	0	1	9	0	0	10	0	0	0
39	28-Apr	0	1	1	15	0	4	33	0	0	0	4	0	0	5	0	0	0	0	0	0	0	0	0	15	0	0	0
40	05-May	0	7	2	22	0	1	27	1	0	0	14	0	1	7	0	0	0	0	0	0	0	0	0	6	0	0	0
41	12-May	0	6	0	9	0	13	9	0	1	3	18	0	3	2	0	0	0	13	0	0	0	0	0	2	0	0	0
42	19-May	0	14	1	30	0	4	13	1	0	0	22	1	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0
43	26-May	0	10	0	17	0	2	11	0	0	0	16	0	3	1	0	0	0	1	0	0	0	0	0	2	0	0	0
44	02-Jun	0	6	0	18	0	2	8	0	0	0	23	1	1	1	0	0	0	2	0	0	0	0	0	4	0	0	0
45	09-Jun	0	4	0	10	0	1	8	0	0	0	17	0	0	2	0	0	0	0	0	0	0	0	0	6	0	1	0
46	16-Jun	0	9	3	3	0	2	2	0	0	1	22	0	0	2	3	0	0	0	0	1	2	0	0	4	0	0	0
47	23-Jun	0	17	3	9	0	6	6	0	0	0	18	1	0	0	0	0	0	0	0	1	0	0	0	3	0	1	0
48	30-Jun	1	26	0	10	0	0	6	0	0	1	14	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0
49	07-Jul	0	27	0	9	0	0	8	0	0	0	8	1	0	0	0	0	0	0	1	1	1	0	0	2	0	0	0
50	14-Jul	1	23	0	1	0	1	3	0	0	0	3	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0
51	21-Jul	0	41	0	5	1	0	6	0	0	0	10	1	1	0	1	0	2	1	0	0	1	0	0	7	0	0	0
52	28-Jul	0	24	0	4	0	0	3	0	0	0	4	0	0	0	1	0	0	1	0	0	1	0	1	8	0	0	0
53	04-Aug	0	29	0	6	1	2	0	0	0	0	8	0	0	0	0	0	0	0	0	0	2	0	1	9	0	0	0
54	11-Aug	0	9	0	11	0	0	2	1	0	0	6	0	0	1	0	1	0	2	3	0	3	0	3	5	0	0	0
